iso 124240 PL Wroc³aw 51.1000000 N 17.0333333 E  124 1 365 4
   N  M  D  H   DBT   RH     HR   WS WD   ITH   IDH   ISH   TSKY   N__0  N__30  NE_30  E__30  SE_30  S__30  SW_30  W__30  NW_30  N__45  NE_45  E__45  SE_45  S__45  SW_45  W__45  NW_45  N__60  NE_60  E__60  SE_60  S__60  SW_60  W__60  NW_60  N__90  NE_90  E__90  SE_90  S__90  SW_90  W__90  NW_90
   1  1  1  0  -1.1   92  3.210  0.0  0   0.0   0.0   0.0 -10.07    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   2  1  1  1  -2.4   94  2.978  0.0  0   0.0   0.0   0.0 -14.25    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   3  1  1  2  -3.7   97  2.789  0.0  0   0.0   0.0   0.0 -17.81    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   4  1  1  3  -5.0  100  2.606  0.0  0   0.0   0.0   0.0 -21.73    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   5  1  1  4  -5.1   96  2.482  0.0  0   0.0   0.0   0.0 -19.46    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   6  1  1  5  -5.3   93  2.367  0.0  0   0.0   0.0   0.0 -17.70    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   7  1  1  6  -5.4   90  2.273  0.0  0   0.0   0.0   0.0 -15.24    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   8  1  1  7  -5.0   90  2.343  0.0  0   0.0   0.0   0.0 -14.75    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   9  1  1  8  -4.5   91  2.461  1.0 10  54.7   0.0  54.7 -14.15   54.7   54.7   54.7   54.7   54.7   54.7   54.7   54.7   54.7   54.7   54.7   54.7   54.7   54.7   54.7   54.7   54.7   54.7   54.7   54.7   54.7   54.7   54.7   54.7   54.7   54.7   54.7   54.7   54.7   54.7   54.7   54.7   54.7
  10  1  1  9  -4.1   92  2.565  2.0 15 105.8   0.0 105.8 -13.67  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8
